Cuisine_type,Protein(g),Carbs(g),Fat(g)
american,79.33548675610595,178.9642242862057,134.4664912280702
asian,86.21888888888888,178.4645238095238,87.33738095238095
british,68.67799163179917,168.64937238493724,131.1315481171548
caribbean,77.40277777777777,112.70777777777778,111.7811111111111
central europe,93.95235294117647,172.6085294117647,159.5244117647059
chinese,92.67983333333333,101.18866666666666,89.71575
eastern europe,87.18509090909092,104.70654545454545,115.93418181818183
french,77.00400662251656,140.1583940397351,130.82918874172185
indian,75.9004347826087,161.24869565217392,99.67967391304349
italian,105.66794743429287,154.8445431789737,132.29580725907385
japanese,70.7878,136.232,101.6232
kosher,62.84428571428571,170.24428571428572,111.78142857142858
mediterranean,90.4007224770642,135.06181766055045,99.4350516055046
mexican,93.12669642857144,136.60151785714285,108.39883928571429
middle eastern,86.35318681318682,128.190989010989,108.26098901098901
nordic,126.24230263157897,103.6216447368421,123.89171052631579
south american,67.90153284671533,153.11525547445257,98.7051094890511
south east asian,94.7122972972973,173.95479729729732,117.8993918918919
world,1.959111969111969,27.539691119691117,3.6254440154440153
